threshold,recall,f2,f1,precision,accuracy,roc_auc,average_precision,brier,tp,tn,fp,fn,meets_min_recall
0.58,0.36403050983540747,0.3386614878996116,0.3066103127641589,0.2648364485981308,0.8177220365498116,0.6759571210347797,0.2760353329691605,0.21420413659818285,4534,87463,12586,7921,False
0.59,0.35295062224006424,0.3332070037140908,0.3074125874125874,0.27228244038401983,0.823935148972481,0.6759571210347797,0.2760353329691605,0.21420413659818285,4396,88300,11749,8059,False
0.6,0.3407466880770775,0.32630089801943657,0.3067914844399465,0.27899027083881145,0.8295260612955984,0.6759571210347797,0.2760353329691605,0.21420413659818285,4244,89081,10968,8211,False
0.61,0.32966680048173425,0.3201659311011649,0.3068988713655729,0.2870726421030553,0.8351525279101187,0.6759571210347797,0.2760353329691605,0.21420413659818285,4106,89852,10197,8349,False
0.62,0.3188277800080289,0.3137295179104713,0.3063806805030476,0.2948689388876513,0.8401834601436393,0.6759571210347797,0.2760353329691605,0.21420413659818285,3971,90553,9496,8484,False
0.63,0.3077478924126857,0.30652719799113926,0.3047142062167104,0.3017397465165709,0.8445210836948019,0.6759571210347797,0.2760353329691605,0.21420413659818285,3833,91179,8870,8622,False
0.6399999999999999,0.29747089522280207,0.2998980103932266,0.30361386544292385,0.31001589825119236,0.8489298158287706,0.6759571210347797,0.2760353329691605,0.21420413659818285,3705,91803,8246,8750,False
0.6499999999999999,0.2862304295463669,0.2919833573581444,0.30105983194696617,0.3175097969362308,0.8528674536016497,0.6759571210347797,0.2760353329691605,0.21420413659818285,3565,92386,7663,8890,False
0.6599999999999999,0.27643516659975914,0.28495522486881963,0.29876778896216594,0.32502596053997923,0.8563428855862902,0.6759571210347797,0.2760353329691605,0.21420413659818285,3443,92899,7150,9012,False
0.6699999999999999,0.2680851063829787,0.2790872617853561,0.2973947895791583,0.3339,0.8597649861338263,0.6759571210347797,0.2760353329691605,0.21420413659818285,3339,93388,6661,9116,False
0.6799999999999999,0.25893215576073864,0.2723219563271579,0.295221530574881,0.34334078569147236,0.863133755244258,0.6759571210347797,0.2760353329691605,0.21420413659818285,3225,93881,6168,9230,False
0.69,0.24937775993576877,0.26485435568592675,0.2920408067321706,0.35231397459165154,0.8661469814406599,0.6759571210347797,0.2760353329691605,0.21420413659818285,3106,94339,5710,9349,False
0.7,0.23990365315134485,0.25738207628432624,0.28896088196895703,0.36323851203501095,0.869293536229823,0.6759571210347797,0.2760353329691605,0.21420413659818285,2988,94811,5238,9467,False
0.71,0.2300281011641911,0.2493342384209702,0.2852449223416965,0.37534390148041397,0.8723778710090307,0.6759571210347797,0.2760353329691605,0.21420413659818285,2865,95281,4768,9590,False
0.72,0.21870734644720996,0.23970011087450063,0.2800164473684211,0.389087273246679,0.8754888715067909,0.6759571210347797,0.2760353329691605,0.21420413659818285,2724,95772,4277,9731,False
0.73,0.2083500602167804,0.23050684858498108,0.2742549143944198,0.40114391714329883,0.8779243404678945,0.6759571210347797,0.2760353329691605,0.21420413659818285,2595,96175,3874,9860,False
0.74,0.19751103974307507,0.22056845691742133,0.2673913043478261,0.41379310344827586,0.8801820379719832,0.6759571210347797,0.2760353329691605,0.21420413659818285,2460,96564,3485,9995,False
0.7499999999999999,0.18683259735046165,0.2105425066049003,0.2600435827233615,0.42760014700477766,0.8822886297376094,0.6759571210347797,0.2760353329691605,0.21420413659818285,2327,96934,3115,10128,False
0.7599999999999999,0.17647531112003212,0.20061700224530402,0.25241157556270094,0.44305583551703287,0.884270781483325,0.6759571210347797,0.2760353329691605,0.21420413659818285,2198,97286,2763,10257,False
0.7699999999999999,0.16483340024086712,0.18903191352227317,0.24241350808832213,0.4579522641088557,0.8859418331792648,0.6759571210347797,0.2760353329691605,0.21420413659818285,2053,97619,2430,10402,False
0.7799999999999999,0.15407466880770776,0.17809414210409089,0.23245109321058688,0.47312623274161736,0.8873551162625329,0.6759571210347797,0.2760353329691605,0.21420413659818285,1919,97912,2137,10536,False
0.7899999999999999,0.1460457647531112,0.1699205978514713,0.22512376237623763,0.4909581646423752,0.8886972907629951,0.6759571210347797,0.2760353329691605,0.21420413659818285,1819,98163,1886,10636,False
0.7999999999999999,0.1381774387796066,0.1618576480325032,0.21786188999303754,0.5146531100478469,0.8901639052833678,0.6759571210347797,0.2760353329691605,0.21420413659818285,1721,98426,1623,10734,False
0.8099999999999999,0.1270172621437174,0.14983046994866744,0.20508166969147004,0.5321224352505887,0.8909905425584869,0.6759571210347797,0.2760353329691605,0.21420413659818285,1582,98658,1391,10873,False
0.82,0.11842633480529907,0.14044141450688402,0.1947451808819646,0.5477163015224656,0.8915771883666358,0.6759571210347797,0.2760353329691605,0.21420413659818285,1475,98831,1218,10980,False
0.83,0.11224407868325974,0.13358049227946797,0.18686092361157522,0.5574162679425837,0.8918527341250089,0.6759571210347797,0.2760353329691605,0.21420413659818285,1398,98939,1110,11057,False
0.84,0.10750702529104778,0.12827882201912208,0.1806286253878322,0.5647406157739351,0.892021617009173,0.6759571210347797,0.2760353329691605,0.21420413659818285,1339,99017,1032,11116,False
0.8499999999999999,0.1034925732637495,0.12373053811745283,0.17508829122521055,0.5680916703393566,0.8920393941548745,0.6759571210347797,0.2760353329691605,0.21420413659818285,1289,99069,980,11166,False
0.8599999999999999,0.10052187876354877,0.12036146894827918,0.1709798566063503,0.5716894977168949,0.8920838370191282,0.6759571210347797,0.2760353329691605,0.21420413659818285,1252,99111,938,11203,False
0.8699999999999999,0.09779205138498595,0.11725970425138632,0.16718138768787316,0.5756143667296786,0.8921371684562327,0.6759571210347797,0.2760353329691605,0.21420413659818285,1218,99151,898,11237,False
0.8799999999999999,0.09433962264150944,0.11334259366439017,0.16241620015204922,0.583416087388282,0.8922793856218446,0.6759571210347797,0.2760353329691605,0.21420413659818285,1175,99210,839,11280,False
0.8899999999999999,0.09096748293857888,0.10945590849370121,0.15745952331318186,0.5852272727272727,0.8922260541847401,0.6759571210347797,0.2760353329691605,0.21420413659818285,1133,99246,803,11322,False
0.8999999999999999,0.08615014050582095,0.10390037958013788,0.1503748861327167,0.5908590308370044,0.8922260541847401,0.6759571210347797,0.2760353329691605,0.21420413659818285,1073,99306,743,11382,False
0.9099999999999999,0.07442794058610999,0.0902804830541488,0.1326654740608229,0.6098684210526316,0.8922616084761431,0.6759571210347797,0.2760353329691605,0.21420413659818285,927,99456,593,11528,False
0.9199999999999999,0.05515857085507828,0.06748128793980708,0.10149209632146551,0.6343490304709142,0.8918793998435611,0.6759571210347797,0.2760353329691605,0.21420413659818285,687,99653,396,11768,False
