threshold,recall,f2,f1,precision,accuracy,roc_auc,average_precision,brier,tp,tn,fp,fn,meets_min_recall
0.41999999999999993,0.7456739728458603,0.3839896908158696,0.22227218621875414,0.13060101645917843,0.4676877676090125,0.6524730459703898,0.20383803148354168,0.22663342224390717,8403,43262,55938,2866,False
0.42999999999999994,0.7109770165941964,0.3836172637344748,0.22690455961484,0.13499351316742766,0.5057799020539699,0.6524730459703898,0.20383803148354168,0.22663342224390717,8012,47861,51339,3257,False
0.43999999999999995,0.6759251042683468,0.3814679781245618,0.23070981811573352,0.13909280157773637,0.5401696403515919,0.6524730459703898,0.20383803148354168,0.22663342224390717,7617,52055,47145,3652,False
0.4499999999999999,0.6438903185730765,0.3798038168817981,0.23514161643658046,0.14383412294090828,0.5726946021055681,0.6524730459703898,0.20383803148354168,0.22663342224390717,7256,56009,43191,4013,False
0.4599999999999999,0.6131866181560032,0.37680906522995716,0.2387533688065787,0.1482355464979084,0.6011188659261875,0.6524730459703898,0.20383803148354168,0.22663342224390717,6910,59495,39705,4359,False
0.4699999999999999,0.5815955275534652,0.3718159641459125,0.24127521719923428,0.1522097587031747,0.6268636450044809,0.6524730459703898,0.20383803148354168,0.22663342224390717,6554,62695,36505,4715,False
0.4799999999999999,0.5505368710622061,0.36622944239147115,0.24380084096357135,0.15656782334384858,0.6516126696177208,0.6524730459703898,0.20383803148354168,0.22663342224390717,6204,65779,33421,5065,False
0.48999999999999994,0.5237376874611767,0.3620770042452946,0.24748925463885102,0.16202712348322626,0.6751034226796658,0.6524730459703898,0.20383803148354168,0.22663342224390717,5902,68676,30524,5367,False
0.49999999999999994,0.498447067175437,0.3571519405870085,0.2505967119498539,0.16737187127532777,0.6958875340593289,0.6524730459703898,0.20383803148354168,0.22663342224390717,5617,71257,27943,5652,False
0.5099999999999999,0.471914100630047,0.3508980297451733,0.25341910888730046,0.17321911338392887,0.7163548144728386,0.6524730459703898,0.20383803148354168,0.22663342224390717,5318,73817,25383,5951,False
0.5199999999999999,0.4485757387523294,0.3449475925319358,0.25617635879893574,0.17928074904241736,0.7342693425304837,0.6524730459703898,0.20383803148354168,0.22663342224390717,5055,76059,23141,6214,False
0.5299999999999999,0.4284319815422841,0.33954567831774385,0.258957305299292,0.18555670855912987,0.7498664783785496,0.6524730459703898,0.20383803148354168,0.22663342224390717,4828,78009,21191,6441,False
0.5399999999999999,0.4074895731653208,0.3328501014786895,0.26110937366730164,0.19210174029451138,0.7647394291611221,0.6524730459703898,0.20383803148354168,0.22663342224390717,4592,79888,19312,6677,False
0.5499999999999999,0.3869908598810897,0.3248997958666726,0.26187473728457333,0.19789445024277352,0.7774579293738515,0.6524730459703898,0.20383803148354168,0.22663342224390717,4361,81524,17676,6908,False
